"phenotype","symbol"
"Glycogen storage disease 0, muscle, 611556 (3)","GYS"
"{Rheumatoid arthritis, systemic juvenile}, 604302 (3)","HSF"
"46XY partial gonadal dysgenesis, with minifascicular neuropathy, 607080 (3)","SRXY7"
"Methylmalonic aciduria and homocystinuria, cblJ type, 614857 (3)","PMP69"
"Corneal dystrophy, Reis-Bucklers type, 608470 (3)","BIGH3"
"Tetraamelia syndrome 2, 618021 (3)","CRISTIN2"
"Holoprosencephaly 5, 609637 (3)","ZIC2"
"Ceroid lipofuscinosis, neuronal, Kufs type, adult onset, 204300 (3)","CLN4A"
"Osteogenesis imperfecta, type XIV, 615066 (3)","TRICB"
"Tooth agenesis, selective, 1, with or without orofacial cleft, 106600 (3)","STHAG1"
"{Crohn disease-associated growth failure}, 266600 (3)","IFNB2"
"Esophageal carcinoma, somatic, 133239 (3)","MRMV1"
"[Glyoxalase II deficiency], 614033 (1)","GLO2"
"Congenital anomalies of kidney and urinary tract 1, 610805 (3)","SPG23"
"Pulmonary hypertension, primary, 4, 615344 (3)","PPH4"
"Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without mental retardation, 613926 (3)","HEPACAM"
"Cardiac valvular dysplasia, X-linked, 314400 (3)","FMD"
"Hemolytic anemia due to adenylate kinase deficiency, 612631 (3)","AK1"
"Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3)","SCCMS"
"{Long QT syndrome 2, acquired, susceptibility to}, 613688 (3)","SQT1"
"Lethal congenital contracture syndrome 11, 617194 (3)","CRGL2"
"?Muscular dystrophy, limb-girdle, autosomal recessive 21, 617232 (3)","RUMI"
"Mitochondrial complex I deficiency, 252010 (3)","IND1"
"Usher syndrome, type 1D/F digenic, 601067 (3)","DFNB23"
"?Mental retardation, X-linked, syndromic 12 (2)","MRXS12"
"Palmoplantar keratoderma, epidermolytic, 144200 (3)","KRT1"
"?Deafness, autosomal recessive 26, 605428 (3)","DFNB26"
"Neuropathy, recurrent, with pressure palsies, 162500 (3)","CIDP"
"Syndactyly, type III, 186100 (3)","CX43"
"{Diabetes mellitus, insulin-dependent, 21} (2)","IDDM21"
"Paroxysmal extreme pain disorder, 167400, (3)","NENA"
"{Dermatitis, atopic, susceptibility to, 9} (2)","ATOD9"
"Coumarin resistance, 122700 (3)","CYP2A3"
"Myelofibrosis, somatic, 254450 (3)","SSA"
"Pancreatic agenesis 1, 260370 (3)","PDX1"
"Myxoid liposarcoma, 613488 (1)","GADD153"
"Amelogenesis imperfecta, type IJ, 617297 (3)","ACPT"
"?Charcot-Marie-Tooth disease, axonal, type 2Q, 615025 (3)","DHTKD1"
"Deafness, autosomal dominant 18 (2)","DFNA18"
"?Dyskeratosis congenita, autosomal dominant 6, 616553 (3)","ACD"
"?Neurodevelopmental disorder with midbrain and hindbrain malformations, 617523 (3)","ARHGEF2"
"{SARS, progression of} (3)","ICH"
"Ciliary dyskinesia, primary, 15, 613808 (3)","KIAA1640"
"D-glyceric aciduria, 220120 (3)","GLYCTK1"
"Epileptic encephalopathy, early infantile, 2, 300672 (3)","CDKL5"
"Deafness, autosomal recessive (3)","EKVP1"
"Deafness, autosomal dominant 3B, 612643 (3)","DFNB1B"
"Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas, 132600 (3)","MYH"
"Galloway-Mowat syndrome 2, X-linked, 301006 (3)","ITBA2"
"Adenocarcinoma of lung, somatic, 211980 (3)","LPRS2"
"Yuan-Harel-Lupski syndrome (4)","YUHAL"
"{Prostate cancer, susceptibility to}, 176807 (3)","CDH1"
"Diastrophic dysplasia, 222600 (3)","DTD"
"?Congenital disorder of glycosylation, type Ir, 614507 (3)","OST"
"Cerebrooculofacioskeletal syndrome 1, 214150 (3)","ARMD5"
"Diastrophic dysplasia, 222600 (3)","D5S1708"
"[Skin/hair/eye pigmentation 1, blond/brown hair], 227220 (3)","HCL3"
"Hyperparathyroidism 4, 617343 (3)","GCMB"
"Spinocerebellar ataxia 6, 183086 (3)","CACNL1A4"
"Tumoral calcinosis, hyperphosphatemic, familial, 2, 617993 (3)","PHPTC"
"Hypoinsulinemic hypoglycemia with hemihypertrophy, 240900 (3)","HIHGHH"
"Left ventricular noncompaction 6, 601494 (3)","CMH2"
"{Malaria, cerebral, susceptibility to}, 611162 (3)","CHDS7"
"?Pancreatic endocrine tumors (1)","PETS1"
"Leigh syndrome, 256000 (3)","SDHA"
"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3, 613151 (3)","LGMDR15"
"?Thrombocytopenia, anemia, and myelofibrosis, 617441 (3)","THAMY"
"Muscular dystrophy, limb-girdle, autosomal recessive 17, 613723 (3)","EBSND"
"Nanophthalmos 2, 609549 (3)","MFRP"
"{Osteoarthritis susceptibility 2}, 140600 (3)","EDM5"
"Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3)","SJS1"
"?Pancreatic endocrine tumors (1)","ST11"
"Jackson-Weiss syndrome, 123150 (3)","KAL2"
"[Kininogen deficiency], 228960 (3)","KNG"
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, 613818 (3)","DAG"
"Pheochromocytoma, 171300 (3)","VHL"
"Alpha-thalassemia/mental retardation syndrome, 301040 (3)","SHS"
"Invasive pneumococcal disease, recurrent isolated, 1, 610799 (3)","REN64"
"Renal tubular acidosis, distal, AR, 611590 (3)","AE1"
"D-2-hydroxyglutaric aciduria 2, 613657 (3)","D2HGA2"
"Ectodermal dysplasia and immunodeficiency 1, 300291 (3)","FIP3"
"Hereditary motor and sensory neuropathy VIA, 601152 (3)","MFN2"
"?Bardet-Biedl syndrome 11, 615988 (3)","BBS11"
"?Microphthalmia, syndromic 13, 300915 (3)","HMG4"
"?Immunodeficiency 13, 615518 (3)","HRG4"
"Char syndrome, 169100 (3)","CHAR"
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant, 181350 (3)","FPLD2"
"Hermansky-Pudlak syndrome 5, 614074 (3)","KIAA1017"
"Diamond-Blackfan anemia 7, 612562 (3)","DBA7"
"Li-Fraumeni syndrome, 151623 (3)","LFS1"
"Periodic fever, familial, 142680 (3)","FPF"
"Grange syndrome, 602531 (3)","YAP"
"[Skin/hair/eye pigmentation 7, blond/brown hair], 611664 (3)","DCUA"
"Epileptic encephalopathy, early infantile, 62, 617938 (3)","FFEVF4"
"{Psoriasis susceptibility 12} (2)","PSORS12"
"Retinal arterial macroaneurysm with supravalvular pulmonic stenosis, 614224 (3)","RAMSVPS"
"{Dystonia-1, modifier of} (3)","DYT1"
"Renal hypodysplasia/aplasia 3, 617805 (3)","GREB1L"
"Atrial standstill 2, 615745 (3)","PND"
"Coenzyme Q10 deficiency, primary, 2, 614651 (3)","COQ1"
"{Pulmonary function} (2)","PLF"
"Myasthenic syndrome, congenital, 3B, fast-channel, 616322 (3)","CMS3C"
"Retinitis pigmentosa 10, 180105 (3)","RP10"
"Geleophysic dysplasia 2, 614185 (3)","ACMICD"
"Epilepsy, generalized, with febrile seizures plus, type 7, 613863 (3)","HSAN2D"
"Seckel syndrome 2, 606744 (3)","RBBP8"
"Hypogonadotropic hypogonadism 18 with or without anosmia, 615267 (3)","HH18"
"Obesity, severe, 601665 (3)","PPARG"
"Glutaric acidemia IIB, 231680 (3)","MADD"
"{Celiac disease, susceptibility to, 12} (2)","CELIAC12"
"?Deafness, autosomal recessive 91, 613453 (3)","SPI3"
"Oocyte maturation defect 3, 617712 (3)","ZP3B"
"{Macular degeneration, age-related, susceptibility to, 5}, 613761 (3)","COFS1"
"Multiple synostoses syndrome 2, 610017 (3)","CDMP1"
"Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia, 300472 (3)","IGBP1"
"Tetralogy of Fallot, 187500 (3)","JAG1"
"{Hepatic fibrosis susceptibility due to Schistosoma mansoni infection} (2)","SM2"
"Combined oxidative phosphorylation deficiency 13, 614932 (3)","COXPD13"
"Jaberi-Elahi syndrome, 617988 (3)","GTPBP2"
"Hypothyroidism, congenital, nongoitrous, 3 (2)","CHNG3"
"{Diabetes mellitus, noninsulin-dependent 1}, 601283 (3)","NIDDM1"
"Cleidocranial dysplasia, forme fruste, dental anomalies only, 119600 (3)","AML3"
"Frontotemporal dementia and/or amyotrophic lateral sclerosis 1, 105550 (3)","FTDALS"
"Ciliary dyskinesia, primary, 21, 615294 (3)","CILD21"
"Mental retardation, autosomal dominant 32, 616268 (3)","KAT6A"
"Muscular dystrophy, congenital, merosin deficient or partially deficient, 607855 (3)","LAMA2"
"Myopathy, myofibrillar, 4, 609452 (3)","LDB3"
"{?Schizophrenia, susceptibility to}, 603013 (1)","NRG1"
"Immunodeficiency 12, 615468 (3)","MALT1"
"46XY sex reversal 1, 400044 (3)","TDY"
"Noonan syndrome 3, 609942 (3)","RALD"
"{Pancreatitis, hereditary}, 167800 (3)","ABCC7"
"Erythrokeratodermia variabilis et progressiva 5, 617756 (3)","EKVP5"
"Bile acid synthesis defect, congenital, 2, 235555 (3)","SRD5B1"
"Dyskeratosis congenita, autosomal dominant 3, 613990 (3)","TINF2"
"Chromosome 19p13.13 deletion syndrome (4)","C19DUPp13.13"
"Night blindness, congenital stationary (complete), 1D, autosomal recessive, 613830 (3)","CSNB1D"
"Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay, 616084 (3)","RPEM"
"RAS-associated autoimmune leukoproliferative disorder, 614470 (3)","RALD"
"{Autism, susceptibility to, 19}, 615091 (3)","EIF4EL1"
"Anemia, hemolytic, Rh-null, regulator type, 268150 (3)","RHNR"
"Fetal hemoglobin quantitative trait locus 2 (2)","HBFQTL2"
"Deafness, autosomal dominant 39, with dentinogenesis, 605594 (3)","DGI1"
"Pachyonychia congenita 2, 167210 (3)","PCHC1"
"Microcephaly 3, primary, autosomal recessive, 604804 (3)","KIAA1633"
"Osteoporosis-pseudoglioma syndrome, 259770 (3)","EVR4"
"Mitochondrial complex III deficiency, nuclear type 2, 615157 (3)","MC3DN2"
"?Mitochondrial DNA depletion syndrome 14 (encephalocardiomyopathic type), 616896 (3)","BERHS"
"Epidermolysis bullosa simplex with pyloric atresia, 612138 (3)","EBSMD"
"Loeys-Dietz syndrome 2, 610168 (3)","AAT3"
"Nephronophthisis 4, 606966 (3)","NPHP4"
"Deafness, autosomal dominant 36, 606705 (3)","TMC1"
"Griscelli syndrome, type 2, 607624 (3)","GS2"
"Hypotrichosis 7, 604379 (3)","ARWH2"
"Mulibrey nanism, 253250 (3)","MUL"
"Nephronophthisis 19, 616217 (3)","DFNB66"
"[Premature chromatid separation trait], 176430 (3)","MVA1"
"Immunodeficiency, common variable, 6, 613496 (3)","CD81"
"Mental retardation, X-linked 96, 300802 (3)","SYP"
"Muscular dystrophy, limb-girdle, autosomal dominant 4, 618129 (3)","CAPN3"
"?Combined oxidative phosphorylation deficiency 29, 616811 (3)","COXPD29"
"?Thrombophilia due to decreased release of tissue plasminogen (1)","THPH9"
"Mitral valve prolapse 2, 607829 (3)","CDH19"
"Hemochromatosis, 235200 (3)","MVCD7"
"{Breast cancer, susceptibility to}, 114480 (3)","RAD53"
"Cardiomyopathy, hypertrophic, 14, 613251 (3)","SSS3"
"Spastic paraplegia 42, autosomal dominant, 612539 (3)","SLC33A1"
"Thrombocytopenia, X-linked, with or without dyserythropoietic anemia, 300367 (3)","GATA1"
"{Osteoporosis, postmenopausal}, 166710 (3)","EDSARTH2"
"Cardiomyopathy, familial hypertrophic, 26 (3)","MPD4"
"HELLP syndrome, maternal, of pregnancy, 609016 (3)","MTPA"
"Immunodeficiency-centromeric instability-facial anomalies syndrome 4, 616911 (3)","ICF4"
"Epilepsy, familial temporal lobe, 3 (2)","ETL3"
"Thrombocytopenia, X-linked, with or without dyserythropoietic anemia, 300367 (3)","ERYF1"
"Epileptic encephalopathy, early infantile, 64, 618004 (3)","KIAA0717"
"Ectodermal dysplasia 3, Witkop type, 189500 (3)","MSX1"
"Immunodeficiency 7, TCR-alpha/beta deficient, 615387 (3)","TRA"
"Immunodeficiency, X-linked, with hyper-IgM, 308230 (3)","HIGM1"
"Glomerulosclerosis, focal segmental, 3, 607832 (3)","CD2AP"
"LADD syndrome, 149730 (3)","FGFR2"
"{Myocardial infarction, susceptibility to}, 608446 (3)","TNFB"
"[Skin/hair/eye pigmentation 2, blond hair/fair skin], 266300 (3)","CMM5"
"?Chilblain lupus 2, 614415 (3)","AGS5"
"?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency, 616323 (3)","ACHRD"
"{Prostate cancer}, 176807 (3)","FANCD1"
"{High density lipoprotein cholesterol level QTL 7} (3)","ARCND3"
"Monilethrix, 158000 (3)","KRTHB6"
"Salt and pepper developmental regression syndrome, 609056 (3)","SPDRS"
"?Cardiomyopathy, dilated, 2A, 611880 (3)","TNNI3"
"Cardiomyopathy, dilated, 1C, with or without LVNC, 601493 (3)","LVNC3"
"Premature ovarian failure 11, 616946 (3)","CSB"
"Spinocerebellar ataxia 38, 615957 (3)","HELO1"
"Muscular dystrophy, limb-girdle, autosomal recessive 8, 254110 (3)","BBS11"
"Optic nerve hypoplasia, 165550 (3)","PAX6"
"Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants, 605714 (3)","AAA"
"Intellectual developmental disorder with dysmorphic facies and ptosis, 617333 (3)","IDDDFP"
"Congenital disorder of glycosylation, type IIp, 616829 (3)","CDG2P"
"Leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism, 614381 (3)","HLD8"
"Neuropathy, hereditary sensory, type IE, 614116 (3)","DNMT1"
"{Epilepsy, childhood absence, susceptibility to, 2}, 607681 (3)","CAE2"
"Cataract 4, multiple types, 115700 (3)","CTRCT4"
"{West nile virus, susceptibility to}, 610379 (3)","CCCKR5"
"Brugada syndrome 7, 613120 (3)","ATFB16"
"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis, 607626 (3)","SEMP1"
"Myasthenic syndrome, congenital, 1B, fast-channel, 608930 (3)","CMS1B"
"{Inflammatory bowel disease 11} (2)","IBD11"
"Spondyloepimetaphyseal dysplasia, X-linked, 300106 (3)","SEMDX"
"Myelodysplastic syndrome, somatic, 614286 (3)","SF3B1"
"Schwartz-Jampel syndrome, type 1, 255800 (3)","SJS1"
"Cone-rod dystrophy 5, 600977 (3)","PITPNM3"
"Giant platelet disorder, isolated, 231200 (3)","GP1BB"
"Thrombophilia due to protein S deficiency, autosomal recessive, 614514 (3)","THPH6"
"Cholangitis, primary sclerosing (2)","PSC"
"Hydrocephalus with congenital idiopathic intestinal pseudoobstruction, 307000 (3)","HSAS1"
"Hyperfibrinolysis, familial, due to increased release of PLAT, 612348 (1)","TPA"
"Radioulnar synostosis with amegakaryocytic thrombocytopenia 1, 605432 (3)","HOX1I"
"Mental retardation, autosomal dominant 30, 616083 (3)","ZMYND11"
"Porphyria, hepatoerythropoietic, 176100 (3)","UROD"
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5, 607155 (3)","MDDGB5"
"Lung cancer, somatic, 211980 (3)","TPL2"
"Gastrointestinal defects and immunodeficiency syndrome, 243150 (3)","TTC7A"
"[Blood group, Rodgers], 614374 (3)","C4S"
"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency, 202010 (3)","FHI"
"Epithelial recurrent erosion dystrophy, 122400 (3)","COL17A1"
"Dias-Logan syndrome, 617101 (3)","KIAA1809"
"Miyoshi muscular dystrophy 1, 254130 (3)","MMD1"
"[Blood group, Colton], 110450 (3)","CHIP28"
"?Diamond-Blackfan anemia 16, 617408 (3)","RPL27"
"?Advanced sleep phase syndrome, familial, 3, 616882 (3)","FASPS3"
"{Macular degeneration, age-related, reduced risk of}, 603075 (3)","CFHL1"
"C9 deficiency, 613825 (3)","ARMD15"
"Hypomagnesemia 4, renal, 611718 (3)","EGF"
"Cardiomyopathy, familial restrictive, 3, 612422 (3)","RCM3"
"Microphthalmia, isolated, with coloboma 7, 614497 (3)","MCOPCB7"
"Osteogenesis imperfecta, type II, 166210 (3)","COL1A2"
"{Alzheimer disease 18, susceptibility to}, 615590 (3)","RAK"
"Gaucher disease, type II, 230900 (3)","GBA"
"Epilepsy, nocturnal frontal lobe, type 4, 610353 (3)","CHRNA2"
"Gallbladder disease 2 (2)","GBD2"
"?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4, 615228 (3)","ATPM"
"Familial cold autoinflammatory syndrome 2, 611762 (3)","NLRP12"
"Retinitis pigmentosa 76, 617123 (3)","LGMDR15"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, 236670 (3)","MDDGA1"
"Spinocerebellar ataxia, autosomal recessive 21, 616719 (3)","SCAR21"
"Joubert syndrome 32, 617757 (3)","SUFU"
"{Stroke, hemorrhagic}, 614519 (3)","DCP1"
"{Endometriosis, susceptibility to, 1} (2)","ENDO1"
"Kindler syndrome, 173650 (3)","FERMT1"
"Loeys-Dietz syndrome 1, 609192 (3)","AAT5"
"Macrodactyly, somatic, 155500 (3)","MCMTC"
"Palmoplantar keratoderma and woolly hair, 616099 (3)","KIAA1518"
"Cutis laxa, autosomal recessive, type IID, 617403 (3)","ARCL2D"
"{Schizophrenia, susceptibility to}, 181500 (3)","ASRT7"
"Blepharocheilodontic syndrome 1, 119580 (3)","LCAM"
"Nephronophthisis 16, 615382 (3)","ANKS6"
"Peroxisome biogenesis disorder 7A (Zellweger), 614872 (3)","PEX26"
"Seckel syndrome 9, 616777 (3)","TRAIP"
"Roussy-Levy syndrome, 180800 (3)","DSS"
"Deafness, autosomal recessive 1B, 612645 (3)","HED2"
"Ptosis, hereditary congenital, 1 (2)","PTOS1"
"Cerebral creatine deficiency syndrome 2, 612736 (3)","GAMT"
"Renal tubular acidosis, distal, autosomal recessive, 602722 (3)","ATP6N1B"
"Leukemia, acute nonlymphocytic (2)","DEK"
"{Gout susceptibility 4}, 612671 (3)","SLC17A3"
"Myopathy, actin, congenital, with cores, 161800 (3)","ASMA"
"Ectodermal dysplasia, ectrodactyly, and macular dystrophy, 225280 (3)","HJMD"
"Mowat-Wilson syndrome, 235730 (3)","ZEB2"
"Osteopetrosis, autosomal dominant 1, 607634 (3)","LRP7"
"Syndactyly, mesoaxial synostotic, with phalangeal reduction, 609432 (3)","CCSPD"
"Conotruncal anomaly face syndrome, 217095 (3)","TBX1"
"Focal facial dermal dysplasia 3, Setleis type, 227260 (3)","AMS"
"Colorectal cancer, 114500 (3)","BMFS5"
"Parkinson disease 6, early onset, 605909 (3)","PINK1"
"?Diamond-Blackfan anemia-like, 617911 (3)","MVCD2"
"Dermoids of cornea (2)","CND"
"Epileptic encephalopathy, early infantile, 43, 617113 (3)","EIEE43"
"Parkinson disease, juvenile, type 2, 600116 (3)","PRKN"
"Ectodermal dysplasia 13, hair/tooth type, 617392 (3)","KREMEN1"
"Spastic paraplegia 77, autosomal recessive, 617046 (3)","COXPD14"
"Mannosidosis, beta, 248510 (3)","MANB1"
"Deafness, congenital with inner ear agenesis, microtia, and microdontia, 610706 (3)","FGF3"
"Retinitis pigmentosa 43, 613810 (3)","PDEA"
"Hypocalciuric hypercalcemia, type I, 145980 (3)","FIH"
"[Malaria, resistance to], 611162 (3)","EPB3"
"Hereditary persistence of fetal hemoglobin, 141749 (3)","ECYT6"
"Mitochondrial complex I deficiency, 252010 (3)","FOXRED1"
"?Aniridia 2, 617141 (3)","AN2"
"{Systemic lupus erythematosus, susceptibility to}, 152700 (3)","FCGR2B"
"46XY sex reversal 3, 612965 (3)","SRXY3"
"Spinocerebellar ataxia 27, 609307 (3)","SCA27"
"Congenital disorder of glycosylation, type It, 614921 (3)","GSD14"
"?Retinitis pigmentosa 83, 618173 (3)","JBTS35"
"Hydatidiform mole, recurrent, 2, 614293 (3)","HYDM2"
"Bronchiectasis with or without elevated sweat chloride 3, 613071 (3)","LDLS2"
"Cone-rod dystrophy 15, 613660 (3)","RP65"
"Spermatogenic failure 32, 618115 (3)","SOHLH1"
"Amytrophic lateral sclerosis 23, 617839 (3)","ALS23"
"Eiken syndrome, 600002 (3)","PTHR"
"Lipodystrophy, familial partial, type 4, 613877 (3)","PLIN"
"{Epidermolysis bullosa dystrophica, autosomal recessive, modifier of}, 226600 (3)","MMP1"
"Immunodeficiency, common variable, 13, 616873 (3)","LYF1"
"Leukodystrophy, hypomyelinating, 2, 608804 (3)","CX47"
"{Diabetes, susceptibility to}, 222100, 125853 (3)","HGF"
"Bone marrow failure syndrome 3, 617052 (3)","BMFS3"
"Febrile seizures, familial, 8, 611277 (3)","GEFSP3"
"Epidermolytic hyperkeratosis, 113800 (3)","BIE"
"Mental retardation, X-linked 29 and others, 300419 (3)","MRX54"
"Periodontitis 1, juvenile, 170650 (3)","PALS"
"{Hepatitis C virus, resistance to}, 609532 (3)","CMKBR5"
"?Deafness, X-linked 6, 300914 (3)","DELXq22.3"
"{Alzheimer disease, late-onset, susceptibility to}, 104300 (3)","URK"
"Cylindromatosis, familial, 132700 (3)","KIAA0849"
"Spastic paraplegia 13, autosomal dominant, 605280 (3)","SPG13"
"{Warfarin sensitivity}, 122700 (3)","F9"
"{Neural tube defects, susceptibility to}, 182940 (3)","STBM2"
"Velocardiofacial syndrome, 192430 (3)","CAFS"
"Parkinson disease 21 (2)","PARK21"
"Maple syrup urine disease, type II, 248600 (3)","DBT"
"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant, 604121 (3)","HSN1E"
"Invasive pneumococcal disease, recurrent isolated, 2, 300640 (3)","EDAID1"
"Otopalatodigital syndrome, type I, 311300 (3)","CSBS"
"Premature ovarian failure 11, 616946 (3)","ERCC6"
"Bare lymphocyte syndrome, type II, complementation group C, 209920 (3)","RFX5"
"[Uric acid concentration, serum, QTL1], 138900 (3)","ABCG2"
"Otodental dysplasia chromosome deletion syndrome (4)","DEL11q13"
"Complement hyperactivation, angiopathic thrombosis, and protein-losing enteropathy, 226300 (3)","CD55"
"Frontotemporal dementia and/or amyotrophic lateral sclerosis 1, 105550 (3)","FTDALS1"
"Cerebellar ataxia and hypogonadotropic hypogonadism, 212840 (3)","TRIAD3"
"17-alpha-hydroxylase/17,20-lyase deficiency, 202110 (3)","CYP17"
"?Congenital disorder of glycosylation, type Is, 300884 (3)","ALG13"
"Neuropathy, distal hereditary motor, type IIA, 158590 (3)","HMN2A"
"Mitochondrial complex IV deficiency, 220110 (3)","SCO1"
"Mosaic variegated aneuploidy syndrome 2, 614114 (3)","KIAA0092"
"Pheochromocytoma, 171300 (3)","HSCR1"
"Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic, 163200 (3)","NS"
"Deafness, autosomal dominant 34, with or without inflammation, 617772 (3)","KEFH"
"Heimler syndrome 1, 234580 (3)","PBD1A"
"?Charcot-Marie-Tooth disease, recessive intermediate, B, 613641 (3)","KARS"
"Darier disease, 124200 (3)","DAR"
"Camptodactyly-arthropathy-coxa vara-pericarditis syndrome, 208250 (3)","PRG4"
"Night blindness, congenital stationary, autosomal dominant 2, 163500 (3)","PDEB"
"?Deafness, autosomal recessive 98, 614861 (3)","TSPEAR"
"?Hyperostosis cranalis interna, 144755 (3)","SLC39A14"
"Aortic aneurysm, familial thoracic 4, 132900 (3)","MYH11"
"[Respiratory rhythmicity in sleep] (2)","RRIS"
"Trigonocephaly 1, 190440 (3)","HRTFDS"
"C4B deficiency, 614379 (3)","C4B"
"Ovarian cancer, somatic, 167000 (3)","CWS6"
"?Immunodeficiency 25, 610163 (3)","CD3Z"
"Corneal dystrophy, Lisch epithelial (2)","LECD"
"?Hydrolethalus syndrome 2, 614120 (3)","AGBK"
"Branchiootic syndrome 1, 602588 (3)","EYA1"
"Dyskeratosis congenita, autosomal recessive 6, 616353 (3)","PFBMFT4"
"Optic atrophy 2, X-linked (2)","OPA2"
"Zimmermann-Laband syndrome 2, 616455 (3)","ZLS2"
"Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3, 613227 (3)","CA8"
"Fetal akinesia deformation sequence, 208150 (3)","CMS9"
"{Epilepsy idiopathic generalized, susceptibility to, 8}, 612899 (3)","HYPOC1"
"Joubert syndrome 27, 617120 (3)","JBTS27"
"Diarrhea 4, malabsorptive, congenital, 610370 (3)","ATOH5"
"CRASH syndrome, 303350 (3)","HSAS1"
"Anemia, sideroblastic, 1, 300751 (3)","SIDBA1"
"{Nicotine dependence, susceptibility to}, 188890 (3)","GPR51"
"Centronuclear myopathy 5, 615959 (3)","SPEG"
"Joubert syndrome 1, 213300 (3)","MORMS"
"Trichothiodystrophy 1, photosensitive, 601675 (3)","COFS2"
"Brugada syndrome 1, 601144 (3)","LQT3"
"Pancreatic carcinoma, somatic, 260350 (3)","CFC2"
"[Hair morphology 1, hair thickness], 612630 (3)","ECTD10A"
"Conotruncal heart malformations, 217095 (3)","CSX2"
"Holoprosencephaly 11, 614226 (3)","CDO"
"?Cardiac arrhythmia with increased serum creatine kinase, 616812 (3)","HBVES"
"{Leanness, inherited} (3)","AGRP"
"Retinitis pigmentosa 35, 610282 (3)","SEMB"
"Curry-Jones syndrome, somatic mosaic, 601707 (3)","CRJS"
"Coffin-Siris syndrome 1, 135900 (3)","BAF250B"
"Hypothyroidism, congenital nongoitrous, 5, 225250 (3)","HLHS2"
"Niemann-Pick disease, type B, 607616 (3)","NPD"
"Amyloidosis, hereditary, transthyretin-related, 105210 (3)","PALB"
"Deafness, autosomal dominant 8/12, 601543 (3)","DFNB21"
"?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3)","PTPRF"
"Mental retardation, autosomal recessive 64, 618103 (3)","MRT64"
"{Vitiligo-associated multiple autoimmune disease susceptibility 1}, 606579 (3)","CARD7"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, 236670 (3)","MDDGB1"
"?Peeling skin syndrome 3, 616265 (3)","CHST8"
"Rett syndrome, atypical, 312750 (3)","MECP2"
"Melanocytic nevus syndrome, congenital, somatic, 137550 (3)","CMNS"
"?Myofibromatosis, infantile 2, 615293 (3)","CADASIL1"
"Partington syndrome, 309510 (3)","MRX29"
"IFAP syndrome with or without BRESHECK syndrome, 308205 (3)","OLMSX"
"Hypotrichosis, congenital, with juvenile macular dystrophy, 601553 (3)","PCAD"
"{Schizophrenia, susceptibility to, 4}, 600850 (3)","SCZD4"
"?Immunodeficiency 39, 616345 (3)","IRF7H"
"Ectodermal dysplasia 14, hair/tooth type with or without hypohidrosis, 618180 (3)","C21orf29"
"Mental retardation, autosomal recessive 24 (2)","MRT24"
"Epileptic encephalopathy, early infantile, 28, 616211 (3)","WWOX"
"Telangiectasia, hereditary hemorrhagic, type 2, 600376 (3)","ACVRLK1"
"Heterotaxy, visceral, 7, autosomal, 616749 (3)","MMP21"
"Xeroderma pigmentosum, group A, 278700 (3)","XPA"
"?Retinitis pigmentosa 83, 618173 (3)","ARFL3"
"Cerebrooculofacioskeletal syndrome 3, 616570 (3)","ERCC5"
"Myopathy, congenital, with fiber-type disproportion, 255310 (3)","CAPM1"
"Joubert syndrome 12, 200990 (3)","KIF7"
"Cardiomyopathy, hypertrophic, 17, 613873 (3)","JP2"
"{Attention deficit-hyperactivity disorder, susceptibility to, 7}, 613003 (3)","NTPH"
"Adrenocortical insufficiency, 612964 (3)","POF7"
"Night blindness, congenital stationary, autosomal dominant 2, 163500 (3)","RP40"
"Leukodystrophy, hypomyelinating, 6, 612438 (3)","HLD6"
"Hypermanganesemia with dystonia 2, 617013 (3)","SLC39A14"
"Methylmalonic aciduria and homocystinuria, cblF type, 277380 (3)","LMBD1"
"Spondylocostal dysostosis 1, autosomal recessive, 277300 (3)","DLL3"
"?Mungan syndrome, 611376 (3)","NXP1"
"{Multiple sclerosis, susceptibility to, 2} (2)","MS2"
